,site,eastings,northings,latitude,longitude
321,GD235U,257203,667636,55.88070735550392,-4.283013340178817
322,GD237A,257310,668192,55.885731260152,-4.281597121681622
323,GD2451,257096,668449,55.88797537265857,-4.285151547603744
324,GD246A,257006,668584,55.88916079737608,-4.2866607397316905
325,GD247U,256991,668367,55.8872079557369,-4.286785766766676
326,GD255A,256892,668752,55.89063537114773,-4.288570929866344
327,GD2571,257126,668992,55.892859737380434,-4.2849588553786
328,GD2601,256627,668932,55.89217273428932,-4.292900321036929
329,GD2651,256434,669155,55.89411749271165,-4.296102392973697
330,GD2701,256322,669437,55.896616078527806,-4.298041758230514
331,GD271A,256232,669605,55.89809763302105,-4.299569217170721
332,GD2721,256122,669751,55.899375661575064,-4.301404715584012
333,GD275A,255631,670196,55.90322417527256,-4.3094888589602975
334,GD275B,255634,670212,55.903368732204,-4.309449451563938
335,GD3051,258585,666900,55.874506434777466,-4.260553395645546
336,GD307A,258384,666789,55.87345075815883,-4.263705602196497
337,GD309U,258649,666534,55.87123891567908,-4.259340324369899
338,GD310A,258833,667209,55.87735363379444,-4.25675351296461
339,GD400U,252488,668344,55.88564370729329,-4.358710937627598
340,GD405U,253062,668320,55.885603634225696,-4.3495283670888885
341,GD4071,251561,669523,55.89594427340062,-4.374165913709969
342,GD4101,253006,668735,55.8893125652614,-4.350648271666221
343,GD412U,252141,669184,55.89307907038975,-4.364712947001449
344,GD4151,253195,669295,55.8943980818102,-4.347932473723792
345,GD420U,252971,669409,55.89535328075334,-4.351573576596266
346,GD422U,252654,669578,55.89677373112934,-4.356730865736747
347,GD425U,254149,668785,55.89010892071414,-4.332414064156155
348,GD426U,254157,668777,55.89003951526273,-4.332281939076313
349,GD430U,253866,668734,55.88956524922099,-4.3369079735160225
350,GD505A,253196,669973,55.90048570623401,-4.348284357280302
351,GD505B,253188,669948,55.90025880857652,-4.348398637381267
352,GD510A,252618,670035,55.90086579146185,-4.3575550730061865
353,GD510B,252628,670013,55.90067133000429,-4.35738327777965
354,GD515A,252380,670014,55.900604340709535,-4.361347082498531
355,GD515B,252388,669992,55.90040927157975,-4.361207231173003
356,GD520A,252000,670009,55.90044280038739,-4.367417047043687
357,GD520B,252013,669986,55.900240296897664,-4.367196715831178
358,GD5221,253232,670863,55.908487401625,-4.348192026606883
359,GD523A,252901,670689,55.906824142614816,-4.353388135924873
360,GD524U,252360,670660,55.906398158258405,-4.362019329550431
361,GD526A,251530,670937,55.908629844397375,-4.375437389938855
362,GD527U,251873,670957,55.908915079459334,-4.369965821470023
363,GD528U,252056,671851,55.91699787023596,-4.367530017081157
364,GD530U,251844,671182,55.91092624607192,-4.370552661427408
365,GD532U,252834,671476,55.913869576300286,-4.3548874335555
