From_Node,To_Node,To_Link,From,To,hasEntryLink,FROM_EASTINGS,FROM_NORTHINGS,TO_EASTINGS,TO_NORTHINGS
GD005A,GD0101,B,GD005A,GD0101_B,FALSE,257948,666670,257771,666779
GD0151,GD0101,A,GD0151,GD0101_A,FALSE,257572,666903,257771,666779
GD0101,GD0151,S,GD0101,GD0151_S,FALSE,257771,666779,257572,666903
GD019A,GD0151,R,GD019A,GD0151_R,FALSE,257426,666994,257572,666903
GA058A,GA0601,V,GA058A,GA0601_V,FALSE,258265,665399,258272,665497
GA0651,GA0601,T,GA0651,GA0601_T,FALSE,258294,665584,258272,665497
GD0151,GD019A,B,GD0151,GD019A_B,FALSE,257572,666903,257426,666994
GD0201,GD019A,A,GD0201,GD019A_A,FALSE,257309,667068,257426,666994
GD019A,GD0201,S,GD019A,GD0201_S,FALSE,257426,666994,257309,667068
GD025A,GD0201,R,GD025A,GD0201_R,FALSE,257119,667176,257309,667068
GD0201,GD025A,B,GD0201,GD025A_B,FALSE,257309,667068,257119,667176
GD030A,GD025A,A,GD030A,GD025A_A,FALSE,257014,667246,257119,667176
GD025A,GD030A,S,GD025A,GD030A_S,FALSE,257119,667176,257014,667246
GD0351,GD030A,R,GD0351,GD030A_R,FALSE,256839,667343,257014,667246
GD030A,GD0351,B,GD030A,GD0351_B,FALSE,257014,667246,256839,667343
GD0451,GD0351,A,GD0451,GD0351_A,FALSE,256379,667644,256839,667343
GD107A,GD0351,C,GD107A,GD0351_C,FALSE,256726,667243,256839,667343
GD0351,GD0451,S,GD0351,GD0451_S,FALSE,256839,667343,256379,667644
GD0501,GD0451,R,GD0501,GD0451_R,FALSE,256017,667882,256379,667644
GD0451,GD0501,B,GD0451,GD0501_B,FALSE,256379,667644,256017,667882
GD0551,GD0501,A,GD0551,GD0501_A,FALSE,255616,668132,256017,667882
GD0501,GD0551,S,GD0501,GD0551_S,FALSE,256017,667882,255616,668132
GD0601,GD0551,R,GD0601,GD0551_R,FALSE,255144,668470,255616,668132
GD0551,GD0601,B,GD0551,GD0601_B,FALSE,255616,668132,255144,668470
GD0651,GD0601,A,GD0651,GD0601_A,FALSE,254930,668601,255144,668470
GD0601,GD0651,S,GD0601,GD0651_S,FALSE,255144,668470,254930,668601
GD0671,GD0651,R,GD0671,GD0651_R,FALSE,254839,668671,254930,668601
GA0401,GA0651,A,GA0401,GA0651_A,FALSE,258130,665622,258294,665584
